event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9950,2019-01-19 19:20:06,1.8,OGS,None,36.07416667,-97.561,6.53,0.35,0.35,0.6,None,Oklahoma,Logan,Reviewed
10446,2019-01-20 01:45:23,2.5,OGS,None,35.27716667,-97.86183333,5.51,0.21,0.21,0.5,None,Oklahoma,Grady,Reviewed
4825,2019-01-20 06:49:32,2.1,OGS,None,37.30889893,-97.68191528,5.0,5.19,2.69,0.0,0.62873836,Kansas,Sumner,Preliminary
9951,2019-01-20 10:55:36,1.8,OGS,None,36.22583333,-98.93466667,7.14,0.35,0.35,0.6,None,Oklahoma,Dewey,Reviewed
9952,2019-01-20 11:54:23,1.6,OGS,None,36.87216667,-97.71966667,6.35,0.21,0.21,0.7,None,Oklahoma,Grant,Reviewed
9953,2019-01-20 12:07:16,1.5,OGS,None,36.78966667,-97.674,6.66,0.21,0.21,0.6,None,Oklahoma,Grant,Reviewed
4834,2019-01-20 14:27:16,2.4,OGS,None,37.08214569,-97.36587524,5.0,7.28,3.57,0.0,0.91045987,Kansas,Sumner,Preliminary
10448,2019-01-20 23:42:30,2.0,OGS,None,35.27166667,-97.86983333,6.4,0.21,0.21,0.4,None,Oklahoma,Grady,Reviewed
4839,2019-01-21 01:29:16,2.9,OGS,None,37.05007172,-97.38095093,5.0,2.49,1.75,0.0,0.27030261,Kansas,Sumner,Preliminary
4843,2019-01-21 01:43:00,2.0,OGS,None,37.06086349,-97.38169098,5.0,4.98,2.92,0.0,0.51654849,Kansas,Sumner,Preliminary
9954,2019-01-21 03:57:19,1.2,OGS,None,35.91833333,-97.25033333,5.48,0.42,0.42,0.9,None,Oklahoma,Logan,Reviewed
9956,2019-01-21 04:30:48,2.0,OGS,None,36.28324509,-97.51082611,3.57,1.17,1.13,1.67,0.26021442,Oklahoma,Noble,Reviewed
9959,2019-01-21 05:27:35,3.1,OGS,None,36.362,-98.15566667,7.7,0.14,0.14,0.5,None,Oklahoma,Alfalfa,Reviewed
4867,2019-01-21 05:56:57,2.2,OGS,None,37.05766296,-97.38925934,5.0,4.56,2.57,0.0,0.47025146,Kansas,Sumner,Preliminary
10450,2019-01-21 06:28:01,1.9,OGS,None,35.26833333,-97.8745,6.87,0.21,0.21,0.4,None,Oklahoma,Grady,Reviewed
9961,2019-01-21 07:55:28,1.9,OGS,None,36.36333333,-98.16083333,7.69,0.14,0.14,0.5,None,Oklahoma,Alfalfa,Reviewed
